transcript_id	gene_name	baseMean	gcn2ko_arg_6h.vs.gcn2ko_rich_6h	gcn2ko_leu_6h.vs.gcn2ko_rich_6h	hct116_arg_3h.vs.hct116_rich_3h	hct116_leu_3h.vs.hct116_rich_3h	hela_arg_mono_3h.vs.hela_rich_mono_3h	hela_leu_mono_3h.vs.hela_rich_mono_3h	hrgfp_arg_6h.vs.hrgfp_rich_6h	hrgfp_leu_6h.vs.hrgfp_rich_6h	ragbq99l_arg_6h.vs.ragbq99l_rich_6h	ragbq99l_leu_6h.vs.ragbq99l_rich_6h	X293t_arg_6h.vs.X293t_rich_6h	X293t_hrgfp_arg_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_argtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leu_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_leutorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_hrgfp_richtorin1_3h.vs.X293t_hrgfp_rich_3h	X293t_leu_6h.vs.X293t_rich_6h
ENST00000355665.7	YTHDC1	661	0.362	0.394	0.824	0.545	0.962	0.278	0.138	-0.268	0.516	0.539	0.377	0.403	0.457	0.085	-0.324	0.543	0.266
ENST00000355673.7	MBD6	75	-1.321	0.024	0.274	0.067	0.432	0.163	-0.233	0.238	-0.526	0.58	-0.293	-0.588	-0.589	-0.244	-0.058	-0.219	0.009
ENST00000355680.7	PRMT2	122	-0.156	-0.199	-0.59	-0.443	-0.796	-0.524	-0.619	0.321	-0.716	-0.526	-0.337	-0.382	-0.057	-0.099	-0.089	-0.072	0.121
ENST00000355683.9	STRN3	216	-0.082	-0.094	0.003	0.181	-0.159	0.081	0.039	-0.281	-0.399	-0.585	-0.308	-0.182	-0.053	-0.203	-0.258	-0.22	-0.164
ENST00000355689.5	TTC30A	52	0.041	0.73	-2.775	3.192	1.189	0.732	0.609	0.394	0.449	0.347	0.847	0.271	0.769	0.21	0.795	0.663	0.358
ENST00000355693.4	COA4	453	0.391	-0.486	-0.51	-0.638	-0.624	-0.459	-0.977	-0.079	-0.277	-0.717	-0.879	-0.157	-0.518	0.147	-0.045	-0.712	-0.867
ENST00000355697.6	SFXN4	402	-0.193	-0.073	-0.669	-0.685	-0.26	-0.125	-0.405	-0.344	-0.415	-0.225	-0.339	-0.298	-0.332	-0.179	-0.269	-0.365	-0.287
ENST00000355703.3	PCNXL3	269	-0.49	-0.095	-0.442	-0.042	0.082	0.125	-0.096	0.047	-0.356	0.194	0.038	0.047	0.262	0.171	0.336	0.568	0.046
ENST00000355739.8	ERCC5	112	-0.001	0.161	0.792	0.318	0.743	0.507	0.344	0.027	0.443	0.436	0.299	-0.052	-0.013	-0.149	0.213	0.247	0.032
ENST00000355740.6	FAS	56	-0.748	-0.803	-0.306	0.06	-1.113	-0.324	0.113	0.026	-0.488	-0.663	0.22	-0.525	-0.541	-0.484	0.21	-0.044	0.782
ENST00000355749.6	NDUFA5	484	-0.363	-0.821	-0.633	-0.105	-0.501	-0.052	-0.256	0.221	-0.621	-0.375	-0.334	-0.521	-0.463	-0.096	-0.274	-0.386	-0.119
ENST00000355758.8	ZC3H7A	465	-0.918	0.144	0.726	0.303	0.53	0.144	0.245	-0.019	0.276	0.51	0.439	0.189	0.666	0.209	0.284	0.743	0.407
ENST00000355765.10	PRPF39	280	0.874	0.219	-0.277	0.077	0.365	0.509	0.075	-0.065	-0.299	-0.201	0.008	-0.138	-0.047	-0.091	0.084	0.155	-0.203
ENST00000355773.5	SLC17A5	141	-1.426	-0.317	-0.197	0.299	-1.253	0.073	-0.33	0.108	-0.859	-0.228	-0.459	-0.581	-0.374	-0.01	-0.657	-0.297	0.051
ENST00000355797.7	MXRA7	66	-0.225	0.018	-0.097	-0.107	-2.841	-1.175	-0.308	0.467	-0.521	-0.924	-0.463	-0.404	-0.48	-0.729	-0.645	-0.904	-0.461
ENST00000355832.9	ERCC6	124	0.273	0.138	0.309	0.318	0.516	0.332	0.871	0.523	0.145	0.411	0.592	0.304	0.433	0.286	0.115	0.591	0.662
ENST00000355841.6	PDLIM7	525	0.269	-0.358	0.638	0.211	0.253	0.066	0.389	0.402	0.191	-0.196	0.181	0.283	-0.445	-0.144	-0.068	-0.381	0.031
ENST00000355848.7	C1D	179	-0.268	0.404	0.268	0.303	-0.11	0.19	-0.025	0.123	-0.401	0.065	-0.185	-0.049	-0.361	0.008	0.169	-0.237	-0.143
ENST00000355849.9	KHDRBS3	250	0.662	0.86	0.016	0.502	0.169	0.135	0.221	0.592	0.018	0.061	0.183	-0.065	0.092	0.004	-0.271	-0.203	0.535
ENST00000355867.8	SVIL	92	0.463	0.206	0.703	0.484	0.622	0.125	0.094	0.234	-0.063	0.305	-0.095	0.475	0.552	0.326	0.28	0.984	0.333
ENST00000355893.9	MLF1	213	-0.413	-0.447	-0.355	-0.092	-0.671	-0.849	-0.246	-0.121	-0.143	-0.624	-0.499	-0.306	-0.435	-0.177	-0.075	-0.292	-0.392
ENST00000355899.7	PLS3	8564	0.171	0.032	0.69	0.631	0.302	0.196	0.341	-0.054	0.164	0.3	0.601	0.111	0.472	-0.011	-0.072	0.543	0.502
ENST00000355904.8	GTF2E2	204	-1.061	-0.448	-0.502	-0.168	-1.275	-0.386	-1.117	-0.482	-1.48	-0.645	-1.096	-1.234	-0.713	-0.348	-0.581	-0.425	-0.354
ENST00000355937.8	PRELID3B	988	0.335	-0.189	-0.851	-0.299	-0.78	-0.531	-0.445	-0.24	-0.382	-0.397	-0.397	-0.57	-0.487	-0.218	-0.277	-0.687	-0.164
ENST00000355938.9	ATP5G1	2141	-0.419	0.523	-0.667	-0.378	-0.917	-0.352	-0.767	0.081	-0.786	-0.032	-0.769	-0.223	-0.135	0.044	-0.028	-0.337	-0.258
ENST00000355943.7	SLC25A46	365	0.522	0.395	0.318	0.148	-0.229	0.008	0.346	-0.042	0.29	0.279	0.436	0.147	0.282	0.104	0.091	0.285	-0.018
ENST00000355946.6	SH3PXD2A	83	-2.307	-0.746	0.183	0.626	-0.436	-0.081	-0.85	-0.202	-0.463	-0.122	-1.445	-0.573	-0.263	0.066	0.287	0.361	-0.432
ENST00000355947.6	TRIM4	132	0.738	0.424	0.338	-0.172	0.125	-0.185	0.479	0.247	0.23	0.168	0.211	0.406	0.078	-0.02	0.022	0.194	0.031
ENST00000355969.10	ZGPAT	82	-0.103	-0.323	-0.21	-0.6	0.201	-0.165	-0.137	0.002	-0.292	-0.745	-0.832	-0.271	-0.433	-0.423	0.198	-0.144	-0.177
ENST00000355999.4	STK39	362	-0.269	0.084	-0.138	0.149	-0.361	-0.062	-0.075	-0.085	-0.054	0.174	0.105	-0.479	-0.041	-0.036	-0.363	-0.121	0.419
ENST00000356016.7	LCOR	64	-0.229	-0.384	0.142	0.148	-0.082	-1.054	-0.223	-0.005	0.356	0.52	-0.315	0.134	0.489	0.341	0.032	0.007	0.244
ENST00000356056.9	MYO9A	144	-0.972	-0.751	-1.155	0.116	-0.385	-0.169	0.031	-0.017	-0.256	0.185	-0.11	-0.132	0.562	0.098	0.25	0.49	0.1
ENST00000356079.8	CYP20A1	156	0.357	-0.218	0.06	0.942	0.387	0.114	0.261	0.241	0.148	-0.148	0.549	-0.143	0.098	-0.031	-0.147	-0.142	0.25
ENST00000356080.8	ADD3	297	0.325	0.366	0.773	0.443	-0.25	-0.276	0.496	0.15	0.29	0.111	0.813	0.332	0.498	0.183	-0.018	0.255	0.584
ENST00000356090.8	NCDN	346	0.644	0.414	-0.082	-0.179	0.152	-0.044	-0.54	-0.615	-0.216	-0.106	-0.386	0.241	-0.051	-0.065	-0.242	0.098	-0.314
ENST00000356091.10	NPEPL1	25	0.894	-0.029	-0.834	-0.107	-0.433	-0.144	0.042	0.398	-0.848	-0.978	1.22	0.397	0.459	1.162	1.932	-0.518	1.13
ENST00000356126.7	PSMD12	2010	0.449	0.054	0.531	0.334	0.271	0.08	0.314	-0.833	0.244	-0.354	0.204	-0.147	0.133	-0.344	-0.162	0.064	-0.665
ENST00000356136.7	UVRAG	99	0.074	0.626	0.253	-0.045	0.573	0.125	0.253	0.448	0.066	0.531	0.565	-0.09	0.258	-0.086	0.099	0.302	0.281
ENST00000356151.6	PXK	142	0	0.536	0.178	0.18	1.4	0.505	0.39	0.404	0.186	0.284	0.183	0.08	0.197	-0.097	0.131	-0.174	0.498
ENST00000356175.7	NF1	429	-1.28	0.269	0.668	0.87	-0.451	0.215	-0.157	-0.047	-0.511	0.204	0.004	-0.232	0.455	0.333	0.306	0.412	0.22
ENST00000356183.8	GTF3C1	1042	0.11	0.075	0.811	0.304	0.366	0.419	-0.235	-0.658	0.247	0.057	0.049	0.329	0.286	-0.146	-0.178	0.363	-0.104
ENST00000356185.7	SUPT20H	225	0.324	0.129	0.266	-0.017	0.353	0.008	0.553	0.173	0.681	0.639	0.551	0.394	0.699	0.155	0.153	0.331	0.39
ENST00000356208.9	RBM38	107	-0.564	0.203	-0.747	-0.11	-1.126	-0.401	-0.788	-0.659	-1.323	-0.853	-0.715	-0.282	-0.775	-0.316	-0.501	-0.283	-0.333
ENST00000356218.8	FRMD6	138	0.248	-0.217	-0.294	-0.089	0.486	0.218	-0.727	-0.346	-0.38	-0.267	-0.739	0.296	0.709	-0.085	0.109	0.442	-0.698
ENST00000356221.7	CDC16	272	0.113	-0.171	-0.079	0.012	0.186	0.072	0.426	-0.088	0.422	0.355	0.669	0.147	0.143	0.01	-0.054	0.223	0.457
ENST00000356231.3	CDAN1	62	-0.36	0.174	-0.287	0.09	0.21	0.132	0.223	0.601	0.394	0.388	0.54	-0.011	0.229	0.186	0.425	0.426	0.642
ENST00000356232.8	UBA5	395	-0.217	-0.25	0.021	-0.033	0.057	-0.049	0.151	0.163	-0.058	0.279	0.122	-0.248	0.275	-0.044	-0.079	0.233	0.16
ENST00000356239.7	AKAP9	394	-0.342	-0.169	0.124	0.143	1.264	0.552	0.9	0.117	0.361	0.422	0.58	-0.057	0.533	-0.139	0.108	0.05	0.559
ENST00000356244.7	RANGAP1	1411	-0.115	-0.279	-0.069	-0.05	0.26	-0.036	-0.436	-0.579	-0.066	-0.175	-0.234	0.126	-0.026	-0.097	-0.179	0.087	-0.407
ENST00000356245.7	G3BP1	3093	0.338	0.526	0.599	0.412	0.082	-0.091	-0.312	-0.357	0.026	0.258	-0.161	0.144	-0.151	-0.061	-0.592	-0.141	-0.088
ENST00000356260.9	SDAD1	638	0.803	0.515	0.597	0.752	0.606	0.489	0.57	0.066	0.752	0.889	0.683	0.578	0.219	0.329	-0.124	0.111	0.401
ENST00000356309.7	NCAPG2	925	0.078	-0.206	-0.028	-0.007	-0.128	-0.06	0.046	-0.166	-0.114	-0.009	0.026	0.228	0.65	0.186	0.373	0.571	0.118
ENST00000356321.4	ZNF770	407	-0.858	-0.716	-0.332	-0.307	0.038	-0.09	-0.2	-0.463	-0.721	-0.893	-0.203	-0.642	0.126	-0.417	-0.078	0.299	-0.072
ENST00000356327.9	PLD1	46	-0.307	0.304	2.192	1.433	0.577	0.264	0.795	0.604	0.402	-0.023	1.922	0.722	0.493	0.393	-0.001	-0.103	0.808
ENST00000356331.9	SH3BP2	53	0.564	-0.624	1.192	0.318	2.529	-0.68	0.632	0.214	0.182	-0.16	0.667	1.19	0.318	0.8	0.321	0.348	0.193
ENST00000356341.7	PAK1	216	-0.239	0.155	0.232	0.226	-0.655	-0.522	0.083	0.166	-0.177	-0.176	0.088	0.326	0.5	0.371	0.41	0.482	0.159
ENST00000356348.5	KPNA5	176	-0.442	0.036	-0.036	0.055	0.051	0.161	-0.293	-0.708	-0.091	-0.088	-0.551	-0.761	-0.527	-0.608	-0.696	-0.625	-0.496
ENST00000356352.6	UPF2	314	0.408	0.26	0.801	0.83	0.418	0.383	0.11	-0.186	0.37	0.444	0.438	0.03	0.418	-0.009	-0.026	0.441	0.063
ENST00000356357.8	AREL1	90	-1.919	-1.488	-1.127	-0.395	-0.921	-0.796	-0.351	-0.073	-0.455	-0.779	-0.637	-0.174	1.018	0.148	0.944	0.839	0.049
ENST00000356362.6	PUS7	401	-0.29	-0.76	-0.18	-0.031	-0.364	-0.143	-0.191	-0.523	-0.108	-0.275	0.022	0.057	0.252	-0.01	0.147	0.381	-0.397
ENST00000356396.8	LSS	237	-0.158	-0.521	0.101	-0.239	0.085	0.091	-0.154	-0.261	-0.008	-0.246	-0.087	0.671	0.156	0.454	0.318	0.403	-0.288
ENST00000356401.8	ARIH2	296	-0.851	-0.605	-0.778	-0.536	-0.55	-0.577	-0.327	-0.123	-0.461	-0.416	-0.459	0.07	0.623	0.129	0.56	0.514	-0.105
ENST00000356404.7	PITPNM1	68	-1.272	-1.234	-0.77	-0.49	-0.351	-0.112	-0.117	0.086	-0.769	-0.329	-0.452	0.259	0.632	-0.328	0.473	0.438	-0.635
ENST00000356406.9	ACOX3	124	0.061	0.07	0.358	0.273	0.144	0.092	0.06	-0.409	0.088	-0	0.078	0.723	0.48	0.331	0.747	0.808	-0.217
ENST00000356415.5	RAP1A	540	-0.669	0.455	-0.246	-0.093	-0.811	-0.209	-0.463	0.09	-0.618	-0.223	-0.642	-0.437	0.001	0.196	-0.104	-0.436	-0.095
ENST00000356435.9	PTPRD	63	-1.069	-0.208	-2.775	-2.71	0.07	0.882	0.028	0.009	-0.595	-0.105	0.35	-0.149	0.448	0.022	0.318	0.793	0.43
ENST00000356436.8	TBC1D7	213	-0.663	-0.083	-0.286	-0.177	-0.402	-0.199	-0.029	0.321	-0.29	-0.268	-0.129	0.055	0.268	0.123	0.323	0.079	0.221
ENST00000356438.7	HYLS1	68	-0.597	0.028	0.26	-0.004	-0.027	1.311	0.024	0.067	-0.066	0.15	-0.053	-0.925	-1.185	-0.485	-0.29	-0.523	-0.113
ENST00000356444.6	SEMA4D	47	-1.998	-1.609	-1.689	-0.232	-0.89	-1.639	-0.251	0.108	-1.04	-0.756	-0.78	-0.798	0.233	-0.071	0.824	0.563	0.013
ENST00000356448.8	ARHGEF26	126	-0.102	0.328	-0.516	-0.663	0.017	-0.317	-0.202	-0.115	-0.025	-0.053	-0.127	-0.236	0.004	-0.265	-0.174	0.096	0.071
ENST00000356450.2	NUDT10	83	-1.458	-0.138	2.111	3.176	0.432	0.683	-0.686	0.136	-0.918	-0.221	-0.983	-0.398	-0.47	-0.914	-0.726	-0.852	-0.321
ENST00000356454.4	SOWAHC	41	-0.366	-1.713	-0.502	-0.935	-0.238	-0.277	0.118	-0.477	-0.839	-0.77	-0.997	-0.478	-0.644	-0.919	0.364	-0.026	-0.239
ENST00000356455.8	UBE2C	1558	-1.208	0.447	-1.336	-0.807	-0.928	-0.42	-1.144	-0.005	-1.267	-0.229	-1.072	-0.887	-0.438	-0.062	-0.07	-0.268	-0.217
ENST00000356463.7	WDR45	236	0.269	-0.017	-0.864	-0.215	-0.362	-0.429	0.266	0.431	-0.11	-0.432	-0.042	0.171	0.252	0.183	-0.047	0.031	-0.059
ENST00000356464.9	RPS26	2237	-0.287	0.007	-0.606	-0.606	-0.15	-0.452	-0.894	-1.022	-0.896	-1.611	-1.27	-0.28	-0.986	-0.432	-0.526	-1.06	-1.184
ENST00000356467.4	FAM168A	125	0.119	-0.245	-0.084	-0.201	-0.677	-0.705	-0.203	-0.342	-0.36	-0.388	-0.136	0.348	-0.014	0.389	0.126	0.121	-0.2
ENST00000356476.2	HIST1H3D	1374	0.637	-0.212	0.364	-0.273	1.024	0.153	2.838	1.301	2.337	1.105	1.22	1.623	0.111	0.539	0.284	0.234	0.294
ENST00000356487.9	GPI	4272	0.094	-0.193	-0.068	-0.111	-0.234	-0.123	-0.116	-0.19	-0.007	-0.152	-0.004	0.17	-0.35	0.008	-0.52	-0.468	-0.128
ENST00000356493.9	STOML2	1406	0.366	-0.191	-0.022	0.12	-0.148	-0.081	0.047	0.278	0.064	-0.17	-0.035	-0.01	-0.269	-0.088	-0.218	-0.303	-0.133
ENST00000356508.9	PLD3	565	-0.159	-0.459	-0.066	-0.087	0.37	0.217	0.042	0.081	0.069	-0.214	0.04	0.175	-0.192	0.039	-0.093	-0.099	-0.121
ENST00000356521.8	CBWD1	347	0.715	-0.216	0.354	-0.181	-0.17	0.673	0.265	0.32	0.188	0.037	0.093	0.249	-0.12	0.413	0.088	-0.068	0.263
ENST00000356530.5	HIST1H2BF	3150	0.539	0.232	-0.034	-0.237	0.475	0.429	0.553	0.726	0.747	0.473	0.371	0.96	0.082	0.618	0.239	-0.27	0.424
ENST00000356537.8	CCDC25	176	0.201	-0.011	-0.186	0.164	-0.124	-0.031	0.116	0.353	-0.107	-0.291	0.24	-0.188	-0.348	-0.187	-0.424	-0.039	0.15
ENST00000356554.7	MAN1A2	186	-1.624	-0.999	0.259	-0.121	-0.586	-0.119	0.028	-0.102	-0.694	-0.799	-0.028	-0.062	0.998	-0.059	0.676	0.804	0.052
ENST00000356607.8	PEX14	186	-0.063	0.25	0.139	0.058	-0.148	-0.136	-0.271	0.213	-0.265	0.29	-0.619	0.12	-0.125	0.282	-0.146	0.003	0.153
ENST00000356634.7	KDM1A	1475	0.135	-0.34	0.179	0.206	0.155	0.069	0.162	-0.392	0.262	0.011	0.115	0.197	0.315	0.091	0.048	0.352	0.017
ENST00000356638.7	GANAB	4625	-0.433	-0.255	-0.038	-0.102	0.555	0.316	0.04	-0.091	-0.036	0.075	-0.053	0.206	-0.015	0.155	0.049	0.058	0.026
ENST00000356654.8	ATN1	171	-2.416	-0.364	-1.437	-0.092	-1.83	-0.854	-1.532	-0.497	-1.412	-0.64	-0.827	-1.679	-0.083	-0.261	0.76	0.418	-0.049
ENST00000356657.10	FDPS	1883	-0.414	-0.226	-0.128	-0.117	-0.308	0.1	-0.277	-0.034	-0.397	-0.14	-0.489	-0.072	-0.118	0.074	-0.131	-0.06	-0.148
ENST00000356661.6	MAGEA1	125	0.528	0.162	-0.332	-0.267	0.432	0.389	-0.28	-0.477	3.402	3.535	-0.687	-0.188	0.137	0.8	0.888	1.634	-1.999
ENST00000356674.7	HNRNPA2B1	14846	-0.462	-0.512	0.232	0.182	-0.437	-0.17	-0.2	-0.153	-0.092	-0.169	-0.012	-0.309	0.294	-0.267	-0.064	0.346	0.078
ENST00000356692.9	PPP4R2	486	0.014	0.17	-0.014	-0.061	-0.105	-0.133	-0.141	-0.165	-0.164	-0.022	-0.013	-0.202	0.473	0.023	0.264	0.474	0.058
ENST00000356709.8	BTN2A2	65	1.067	0.041	1.188	0.285	1.054	0.79	0.287	-0.057	0.608	0.105	0.242	0.736	0.61	0.517	0.665	0.511	0.146
ENST00000356713.4	CNNM1	35	-0.307	0.012	-0.332	-0.267	-0.018	-0.031	0.699	0.506	0.396	0.261	1.349	0.731	0.015	0.096	0.121	0.179	0.879
ENST00000356731.9	HNRNPH1	6490	-0.138	-0.096	0.414	0.286	-0.061	0.075	-0.388	-0.443	-0.096	-0.133	-0.178	-0.234	-0.104	-0.216	-0.373	0.085	-0.136
ENST00000356736.4	SLC39A8	223	-1.108	-0.02	-0.332	0.295	-0.868	-0.056	-0.405	0.057	-0.74	0.151	-0.258	-0.615	-0.11	0.232	0.212	0.058	-0.094
ENST00000356763.7	PIK3R4	427	0.02	-0.333	0.239	0.359	0.142	0.053	-0.225	-0.588	0.022	-0.067	-0.031	0.171	0.55	0.206	-0.129	0.501	-0.085
ENST00000356769.7	NACA	6960	-0.121	-0.546	-1.005	-0.68	-0.364	-0.334	-0.397	-0.208	-0.438	-0.479	-0.69	-0.638	-1.397	-0.552	-1.125	-1.333	-0.553
ENST00000356797.7	ARL4A	80	-0.86	0.107	0.398	0.398	0.329	0.292	-0.017	0.029	-0.77	-0.041	0.263	-0.58	-0.378	-0.405	-0.895	-0.196	0.779
ENST00000356805.8	SPTBN1	1247	-0.243	-0.251	0.14	-0.015	2.223	1.279	0.147	-0.195	0.106	-0.014	0.357	0.261	0.142	0.063	0.248	0.055	0.117
ENST00000356836.10	B4GALT2	74	-0.677	0.006	-0.332	-0.133	0.372	0.016	-0.295	0.148	-0.233	-0.323	-0.379	-0.51	-0.491	-0.406	-0.182	-0.173	-0.29
ENST00000356839.9	ACADVL	335	0.024	-0.273	-0.081	-0.028	0.064	0.013	0.334	0.574	0.29	0.277	0.11	0.673	0.041	0.244	0.682	0.328	0.361
ENST00000356853.9	NHEJ1	168	0.08	-0.195	-0.529	-0.121	-0.504	-0.095	-0.145	0.087	-0.22	0.114	-0.108	-0.256	-0.397	-0.026	-0.239	-0.182	0.025
ENST00000356861.9	TNPO2	508	0.747	0.331	0.583	0.308	0.094	0.112	0.05	-0.194	0.412	0.351	0.023	0.182	0.219	0.114	0.1	0.291	-0.064
ENST00000356889.8	FIGNL1	401	-0.282	-0.185	0.502	0.294	0.642	-0.126	0.411	-0.099	0.469	0.138	0.041	-0.013	-0.03	-0.08	-0.118	-0.186	-0.111
ENST00000356891.3	C12orf29	325	0.739	0.093	0.604	0.488	-0.015	-0.438	0.019	-0.674	-0.001	-0.407	-0.08	-0.195	-0.143	-0.436	-0.089	-0.161	-0.466
ENST00000356922.5	LIG4	90	0.881	0.708	0.446	-0.016	0.26	-0.13	-0.138	-0.864	0.389	0.561	-0.192	0.202	-0.107	-0.107	-0.019	0.02	-0.097
ENST00000356924.8	ABCD4	134	0.009	0.065	1.074	1.192	0.748	-0.054	0.705	0.72	0.469	0.223	0.618	0.42	0.408	0.019	0.531	0.143	0.575
ENST00000356929.3	ZNF708	44	1.801	0.767	-0.109	0.848	-0.246	1.268	2.418	0.594	1.69	0.877	1.667	0.857	0.737	0.667	-1.159	0.587	0.625
ENST00000356940.10	RAB18	421	0.278	0.259	0.283	0.009	-0.306	-0.058	-0.372	-0.086	-0.227	-0.102	-0.342	-0.662	-0.603	-0.128	-0.33	-0.738	-0.221
ENST00000356950.1	HIST1H2BK	13172	0.589	-0.057	0.696	-0.163	0.589	-0.561	0.644	0.525	0.998	0.191	0.445	0.622	-0.307	-0.005	0.02	-0.23	-0.103
ENST00000356955.6	ADAM15	308	0.463	0.205	-0.175	-0.012	-0.108	0.09	0.617	0.617	0.256	0.105	0.016	0.368	-0.591	0.068	-0.255	-0.438	-0.187
ENST00000356956.5	IGF2R	1377	-0.035	0.123	0.334	0.244	0.849	0.783	0.535	-0.021	0.268	0.313	0.63	0.251	0.02	0.28	0.145	0.101	0.444
ENST00000356970.6	CLCC1	402	-0.34	-0.488	-0.252	-0.786	-0.35	-0.117	-0.212	-0.185	-0.389	-0.205	0.014	-0.143	0.156	0.043	-0.043	0.055	0.111
ENST00000356976.7	PICK1	199	0.649	0.513	-0.23	0.23	0.017	-0.125	0.119	0.169	0.36	0.367	0.255	-0.142	-0.236	0.11	-0.009	-0.096	0.337
ENST00000356978.8	CALM1	2520	-0.382	-0.846	-0.624	-0.333	-0.976	-0.368	-0.47	-0.111	-0.568	-0.543	-0.72	-0.276	-0.087	0.028	-0.036	-0.188	-0.391
ENST00000356994.6	SCRIB	421	-0.366	0.38	-0.894	-0.155	-0.501	-0.101	-0.665	0.058	-0.818	-0.179	-0.279	-0.1	-0.37	0.049	0.033	0.014	0.106
ENST00000357006.8	ZBTB14	68	1.159	0.429	0.668	0.671	0.591	0.33	0.82	0.51	0.897	0.47	1.499	0.438	-0.278	0.297	0.029	0.113	0.826
ENST00000357008.6	CHD4	1858	0.049	0.25	0.905	0.384	0.786	0.171	0.066	-0.614	0.526	0.318	0.226	0.23	0.277	-0.189	-0.302	0.578	0.036
ENST00000357033.8	DMD	182	0.183	0.174	2.111	4.176	0.322	0.207	0.477	0.096	0.335	0.359	0.565	0.307	0.097	0.016	-0.112	0.264	0.331
ENST00000357037.5	PTRF	363	-1.57	-0.176	-0.21	-0.094	-0.791	-0.179	-1.832	-0.477	-1.178	-0.252	-2.037	-0.32	-0.579	-0.165	-0.658	0.304	-0.498
ENST00000357039.8	PEX2	91	-2.381	-0.245	0.895	0.223	0.72	0.953	0.498	0.488	-0.573	0.415	0.52	-0.188	0.119	0.311	0.705	0.233	0.678
ENST00000357043.6	RASSF1	153	2.713	1.818	1.575	1.083	0.561	0.292	1.464	0.7	1.956	1.289	1.249	0.821	0.023	-0.119	-0.09	-0.278	0.294
ENST00000357082.8	ZHX1-C8orf76	148	0.512	0.167	-0.409	-0.212	-0.143	-0.611	-0.35	-0.664	-0.423	-0.554	-0.624	-0.468	-0.436	-0.453	-0.083	-0.091	-1.081
ENST00000357086.9	ITPR1	247	-0.09	0.123	0.253	0.218	0.875	0.565	0.726	0.15	0.761	0.698	1.316	0.671	0.552	0.089	-0.282	0.856	0.777
ENST00000357103.4	ADIPOR2	403	0.118	0.197	0.265	0.287	-0.283	-0.212	-0.244	-0.307	-0.003	0.095	-0.042	-0.195	0.054	-0.155	0.196	0.098	-0.241
ENST00000357122.8	SPAG9	759	0.479	0.2	0.083	0.105	0.717	0.341	0.492	0.04	0.309	0.266	0.419	0.371	0.447	0.186	0.147	0.083	0.134
ENST00000357137.8	XPNPEP3	207	-0.033	0.291	-0.282	-0.202	-0.021	-0.208	-0.002	-0.283	0.065	0.15	0.029	0.221	0.137	0.082	-0.442	0.195	0.178
ENST00000357156.6	DYNLRB1	1081	0.061	-0.074	-0.136	-0.01	-0.34	-0.211	-0.407	0.042	-0.406	-0.296	-0.366	-0.148	-0.402	0.045	-0.213	-0.436	-0.044
ENST00000357164.3	GM2A	325	-0.969	-0.654	0.009	-0.142	-0.362	0.017	-1.032	-0.101	-1.15	-0.61	-1.261	-0.424	-0.315	0.142	-0.216	-0.456	-0.321
ENST00000357166.10	ZDHHC9	286	-0.043	-0.006	-0.727	-0.716	-0.483	-0.266	-0.299	-0.319	-0.133	-0.001	0.007	0.012	0.074	0.035	0.038	-0.056	-0.057
ENST00000357172.8	CEPT1	503	-0.087	0.058	0.16	0.373	-0.194	0.137	-0.119	-0.395	-0.119	-0.151	0.018	-0.258	0.141	-0.084	0.039	0.04	-0.111
ENST00000357179.9	TOP3B	150	0.385	0.269	0.843	0.302	0.734	0.9	-0.729	-0.539	-0.163	-0.044	-0.174	0.404	0.227	0.23	0.055	0.649	-0.238
ENST00000357182.8	ZMYM6	86	-0.57	-0.056	0.384	0.417	0.473	-0.317	-0.291	-0.302	-0.368	0.092	-0.052	-0.268	-0.295	-0.462	-0.404	-0.224	-0.069
ENST00000357214.5	SFPQ	4278	0.749	-0.127	0.882	0.434	0.439	0.247	-0.536	-0.343	0.181	0.464	-0.292	0.235	0.202	-0.033	-0.216	0.177	0.084
ENST00000357227.8	CDK16	314	0.047	-0.015	0.806	0.381	0.714	0.726	1.462	1.565	1.131	0.918	0.79	1.178	0.42	1.096	0.69	0.295	0.697
ENST00000357235.5	CDC42SE1	151	-0.22	-0.564	-0.109	-0.53	-0.021	-0.032	-0.962	-0.406	-0.256	-0.396	-0.681	-0.443	-1.313	-0.722	-0.731	-1.238	-0.687
ENST00000357242.9	TBC1D8B	108	-0.247	-0.049	0.601	0.666	0.671	0.209	0.62	0.41	0.256	0.192	0.604	0.429	0.689	0.195	0.317	0.607	0.13
ENST00000357244.6	RC3H2	151	-0.497	0.822	-0.393	0.64	-0.965	-0.497	-1.086	-0.119	-0.978	-0.431	-0.957	-1.167	0.278	0.075	0.316	0.402	0.049
ENST00000357248.7	SMARCA2	273	-0.097	0.582	0.593	0.366	0.427	0.347	0.011	0.232	0.024	0.492	0.328	0.178	0.219	0.152	-0.027	0.263	0.506
ENST00000357254.8	ZNF23	43	1.074	0.197	0.668	0.013	1.12	0.32	1.345	0.699	1.829	1.298	1.874	0.834	1.287	0.46	0.058	0.356	1.486
ENST00000357266.8	FKBP5	486	0.216	0.453	0.164	0.453	-0.209	0.027	-0.088	0.084	-0.256	0.112	-0.021	-0.176	0.217	-0.067	-0.035	-0.004	0.128
